mask,n_lesions,mean_lesion_volume,total_volume,mean_radius
P12_T1_MASK_lesion17.nii.gz,1,14.0,14,1.769930241909123
P12_T1_MASK_lesion19.nii.gz,4,24.0,96,2.1925630422422704
P12_T1_MASK_lesion21.nii.gz,5,92.4,462,4.591467604210033
P12_T1_MASK_lesion22.nii.gz,1,5.0,5,1.1832159566199238
P12_T1_MASK_lesion23.nii.gz,6,77.16666666666667,463,3.8262230035083604
P12_T1_MASK_lesion24.nii.gz,4,93.25,373,4.565691399747135
P12_T1_MASK_lesion25.nii.gz,5,21.0,105,2.088123686646548
P12_T1_MASK_lesion26.nii.gz,6,77.16666666666667,463,3.8262230035083604
P12_T1_MASK_lesion27.nii.gz,4,26.0,104,2.6101546083081844
P12_T1_MASK_lesion28.nii.gz,6,50.666666666666664,304,3.078009178640608
P12_T1_MASK_lesion29.nii.gz,6,89.16666666666667,535,4.577273707459223
P12_T1_MASK_lesion3.nii.gz,3,50.333333333333336,151,3.6519205227933393
P12_T1_MASK_lesion30.nii.gz,4,112.5,450,5.108911550997474
P12_T1_MASK_lesion31.nii.gz,8,58.25,466,2.96340281320572
P12_T1_MASK_lesion32.nii.gz,8,78.5,628,3.554882737475043
P12_T1_MASK_lesion33.nii.gz,5,80.8,404,3.454876661288894
P12_T1_MASK_lesion34.nii.gz,4,163.0,652,6.511626984869677
P12_T1_MASK_lesion35.nii.gz,2,15.0,30,1.8326288495438947
P12_T1_MASK_lesion36.nii.gz,4,100.75,403,4.318595826611118
P12_T1_MASK_lesion4.nii.gz,3,52.333333333333336,157,3.7366240866394573
P12_T1_MASK_lesion5.nii.gz,3,53.0,159,3.55998207146954
P12_T1_MASK_lesion6.nii.gz,3,50.333333333333336,151,3.6519205227933393
P12_T1_MASK_lesion7.nii.gz,2,34.5,69,2.895844339708874
P12_T1_MASK_lesion8.nii.gz,2,60.5,121,5.210835576903972
P12_T1_MASK_lesion9.nii.gz,5,49.8,249,3.4304551656588047
P13_T1_MASK_lesion1.nii.gz,1,182.0,182,7.485420357776632
P13_T1_MASK_lesion10.nii.gz,1,117.0,117,5.057063520036735
P13_T1_MASK_lesion11.nii.gz,4,73.0,292,3.23832115252887
P13_T1_MASK_lesion12.nii.gz,3,361.6666666666667,1085,7.390407557399491
P13_T1_MASK_lesion13.nii.gz,2,350.0,700,6.0537390388364845
P13_T1_MASK_lesion14.nii.gz,2,303.5,607,10.817707672289007
P13_T1_MASK_lesion15.nii.gz,6,85.83333333333333,515,4.000478862973826
P13_T1_MASK_lesion16.nii.gz,6,85.83333333333333,515,4.000478862973826
P13_T1_MASK_lesion17.nii.gz,6,204.5,1227,5.358843419690376
P13_T1_MASK_lesion18.nii.gz,3,54.0,162,3.488172755397669
P13_T1_MASK_lesion19.nii.gz,4,82.75,331,4.068251545423297
P13_T1_MASK_lesion2.nii.gz,3,165.66666666666666,497,7.1736753400485895
P13_T1_MASK_lesion20.nii.gz,1,74.0,74,3.721126976490369
P13_T1_MASK_lesion21.nii.gz,1,68.0,68,3.485821503905992
P13_T1_MASK_lesion22.nii.gz,2,49.0,98,4.01025918175506
P13_T1_MASK_lesion23.nii.gz,3,50.0,150,4.349638021098148
P13_T1_MASK_lesion24.nii.gz,2,377.0,754,8.569675231755685
P13_T1_MASK_lesion25.nii.gz,4,61.5,246,3.793299803280935
P13_T1_MASK_lesion26.nii.gz,3,266.3333333333333,799,6.651550855194157
P13_T1_MASK_lesion27.nii.gz,3,89.66666666666667,269,4.496687164827336
P13_T1_MASK_lesion28.nii.gz,5,199.6,998,6.22375199425034
P13_T1_MASK_lesion29.nii.gz,4,242.25,969,6.919476472323771
P13_T1_MASK_lesion3.nii.gz,3,147.0,441,5.805314427955789
P13_T1_MASK_lesion30.nii.gz,2,79.5,159,3.7783167389379333
P13_T1_MASK_lesion31.nii.gz,4,61.5,246,3.7932998032809353
P13_T1_MASK_lesion32.nii.gz,4,61.5,246,3.793299803280936
P13_T1_MASK_lesion33.nii.gz,6,284.6666666666667,1708,7.425953074219177
P13_T1_MASK_lesion34.nii.gz,3,203.66666666666666,611,5.5320666838263906
P13_T1_MASK_lesion35.nii.gz,6,105.0,630,4.528800493357735
P13_T1_MASK_lesion36.nii.gz,4,116.5,466,4.533300200834292
P13_T1_MASK_lesion37.nii.gz,3,81.0,243,3.425001463144769
P13_T1_MASK_lesion38.nii.gz,3,81.0,243,3.42500146314477
P13_T1_MASK_lesion39.nii.gz,3,81.0,243,3.4250014631447683
P13_T1_MASK_lesion4.nii.gz,5,137.0,685,5.69504316097122
P13_T1_MASK_lesion5.nii.gz,3,314.0,942,10.94269624314097
P13_T1_MASK_lesion8.nii.gz,2,80.0,160,4.372915791033324
P13_T1_MASK_lesion9.nii.gz,5,79.0,395,3.6862397033276038
P14_T1_MASK_lesion10.nii.gz,2,224.0,448,5.869250594085698
P14_T1_MASK_lesion12.nii.gz,2,89.5,179,3.5824737244628713
P14_T1_MASK_lesion13.nii.gz,2,79.5,159,3.3287444717538275
P14_T1_MASK_lesion14.nii.gz,4,66.75,267,3.2064825627002267
P14_T1_MASK_lesion15.nii.gz,2,155.0,310,4.33528837139929
P14_T1_MASK_lesion16.nii.gz,2,103.5,207,4.28840717930444
P14_T1_MASK_lesion17.nii.gz,2,155.0,310,4.335288371399291
P14_T1_MASK_lesion2.nii.gz,1,32.0,32,2.1213203435596424
P14_T1_MASK_lesion3.nii.gz,1,2.0,2,0.5
P14_T1_MASK_lesion4.nii.gz,1,462.0,462,7.809720879920082
P14_T1_MASK_lesion5.nii.gz,3,235.33333333333334,706,5.341662909340062
P14_T1_MASK_lesion6.nii.gz,2,309.0,618,6.067353140302857
P14_T1_MASK_lesion7.nii.gz,2,329.5,659,6.316327941108625
P14_T1_MASK_lesion9.nii.gz,3,162.66666666666666,488,4.705596128992151
P15_T1_MASK_lesion1.nii.gz,1,378.0,378,14.388239293644146
P15_T1_MASK_lesion2.nii.gz,1,379.0,379,8.966637939056723
P15_T1_MASK_lesion3.nii.gz,2,301.5,603,8.100756178444342
P15_T1_MASK_lesion4.nii.gz,2,301.5,603,8.100756178444342
P15_T1_MASK_lesion5.nii.gz,2,301.5,603,8.100756178444344
P15_T1_MASK_lesion6.nii.gz,1,375.0,375,8.87612848537519
P16_T1_MASK_lesion1.nii.gz,1,27.0,27,1.9390577944753218
P16_T1_MASK_lesion2.nii.gz,2,139.5,279,4.388502110713764
P16_T1_MASK_lesion3.nii.gz,1,387.0,387,6.453966222450666
P16_T1_MASK_lesion4.nii.gz,1,126.0,126,4.469275870626039
P17_T1_MASK_lesion1.nii.gz,1,60.0,60,3.1547142853548924
P17_T1_MASK_lesion10.nii.gz,6,84.5,507,3.734147619825441
P17_T1_MASK_lesion11.nii.gz,6,84.5,507,3.734147619825442
P17_T1_MASK_lesion2.nii.gz,3,80.0,240,5.1549521534663745
P17_T1_MASK_lesion3.nii.gz,1,886.0,886,15.327510620517375
P17_T1_MASK_lesion4.nii.gz,3,80.0,240,5.1549521534663745
P17_T1_MASK_lesion5.nii.gz,3,80.0,240,5.1549521534663745
P17_T1_MASK_lesion6.nii.gz,5,74.2,371,3.6411540861372584
P17_T1_MASK_lesion7.nii.gz,5,74.2,371,3.6411540861372584
P17_T1_MASK_lesion8.nii.gz,5,74.2,371,3.641154086137258
P17_T1_MASK_lesion9.nii.gz,3,110.0,330,3.965258747520657
P18_T1_MASK_lesion1.nii.gz,1,557.0,557,9.944070651732291
P18_T1_MASK_lesion2.nii.gz,1,89.0,89,4.701116076218018
P18_T1_MASK_lesion3.nii.gz,1,124.0,124,4.741962914118601
P19_T1_MASK_lesion10.nii.gz,4,114.75,459,4.290277078645284
P19_T1_MASK_lesion11.nii.gz,8,76.875,615,4.531840037279714
P19_T1_MASK_lesion12.nii.gz,4,153.25,613,5.361970846365047
P19_T1_MASK_lesion13.nii.gz,5,137.6,688,5.011484846417474
P19_T1_MASK_lesion14.nii.gz,8,47.375,379,2.732224074151408
P19_T1_MASK_lesion15.nii.gz,6,51.166666666666664,307,2.787056727125467
P19_T1_MASK_lesion16.nii.gz,4,47.0,188,2.563616455968071
P19_T1_MASK_lesion17.nii.gz,8,283.0,2264,6.998763920239647
P19_T1_MASK_lesion18.nii.gz,3,63.0,189,3.4477176869447574
P19_T1_MASK_lesion19.nii.gz,7,40.57142857142857,284,2.48086439211986
P19_T1_MASK_lesion2.nii.gz,6,70.16666666666667,421,4.893194699616736
P19_T1_MASK_lesion20.nii.gz,6,35.833333333333336,215,2.386124408709283
P19_T1_MASK_lesion21.nii.gz,7,53.57142857142857,375,3.147367811238151
P19_T1_MASK_lesion22.nii.gz,6,157.66666666666666,946,5.365573657571855
P19_T1_MASK_lesion23.nii.gz,7,53.57142857142857,375,3.147367811238151
P19_T1_MASK_lesion25.nii.gz,9,49.111111111111114,442,2.9276549305586745
P19_T1_MASK_lesion26.nii.gz,1,198.0,198,4.7634483046471505
P19_T1_MASK_lesion27.nii.gz,2,243.5,487,7.516166815424997
P19_T1_MASK_lesion28.nii.gz,2,74.0,148,4.012975761976782
P19_T1_MASK_lesion29.nii.gz,3,9.0,27,1.5550745744739842
P19_T1_MASK_lesion3.nii.gz,2,131.5,263,8.832706987578664
P19_T1_MASK_lesion30.nii.gz,1,200.0,200,7.387254226030129
P19_T1_MASK_lesion31.nii.gz,1,41.0,41,3.416114661617876
P19_T1_MASK_lesion32.nii.gz,4,59.25,237,2.930989837549108
P19_T1_MASK_lesion35.nii.gz,4,57.75,231,3.0472594282828473
P19_T1_MASK_lesion36.nii.gz,4,49.25,197,2.893967978324599
P19_T1_MASK_lesion37.nii.gz,5,55.0,275,2.7548589754726622
P19_T1_MASK_lesion38.nii.gz,5,65.6,328,3.2800421442918393
P19_T1_MASK_lesion39.nii.gz,4,67.5,270,3.1935737193408276
P19_T1_MASK_lesion4.nii.gz,1,40.0,40,2.345207879911715
P19_T1_MASK_lesion41.nii.gz,10,60.5,605,3.1684910872366783
P19_T1_MASK_lesion42.nii.gz,5,43.0,215,2.7691010096778017
P19_T1_MASK_lesion43.nii.gz,10,69.1,691,3.351958377136172
P19_T1_MASK_lesion44.nii.gz,8,72.0,576,3.4370168648391877
P19_T1_MASK_lesion45.nii.gz,4,49.25,197,2.8939679783245986
P19_T1_MASK_lesion46.nii.gz,5,232.4,1162,6.750726790140978
P19_T1_MASK_lesion47.nii.gz,11,64.18181818181819,706,3.4616532271996077
P19_T1_MASK_lesion48.nii.gz,6,41.333333333333336,248,2.7454079103921045
P19_T1_MASK_lesion49.nii.gz,8,339.25,2714,5.283234012750504
P19_T1_MASK_lesion5.nii.gz,6,96.5,579,5.2224064274217
P19_T1_MASK_lesion50.nii.gz,13,238.0,3094,4.566624343782156
P19_T1_MASK_lesion51.nii.gz,9,74.0,666,3.3652607955753844
P19_T1_MASK_lesion52.nii.gz,6,658.3333333333334,3950,7.355185251502443
P19_T1_MASK_lesion53.nii.gz,14,64.07142857142857,897,3.4401964922184516
P19_T1_MASK_lesion54.nii.gz,8,79.0,632,3.5337650391475686
P19_T1_MASK_lesion55.nii.gz,5,61.4,307,3.2634450169561218
P19_T1_MASK_lesion56.nii.gz,10,56.5,565,3.4451733913790674
P19_T1_MASK_lesion57.nii.gz,10,73.0,730,3.979249452374895
P19_T1_MASK_lesion58.nii.gz,7,74.14285714285714,519,4.072323489594392
P19_T1_MASK_lesion59.nii.gz,6,69.5,417,4.070202676991939
P19_T1_MASK_lesion60.nii.gz,4,26.25,105,2.2755792375432393
P19_T1_MASK_lesion61.nii.gz,7,39.285714285714285,275,3.0501769877310076
P19_T1_MASK_lesion7.nii.gz,2,81.5,163,4.060011452215718
P19_T1_MASK_lesion8.nii.gz,3,93.33333333333333,280,3.897684343162052
P19_T1_MASK_lesion9.nii.gz,7,84.42857142857143,591,4.846977048868413
P1_T1_MASK_lesion10.nii.gz,4,372.5,1490,6.7684625611003
P1_T1_MASK_lesion11.nii.gz,4,370.0,1480,6.744793389770976
P1_T1_MASK_lesion13.nii.gz,1,72.0,72,4.25800353872592
P1_T1_MASK_lesion15.nii.gz,1,123.0,123,3.749527918816765
P1_T1_MASK_lesion16.nii.gz,1,93.0,93,4.0851866719313294
P1_T1_MASK_lesion17.nii.gz,1,58.0,58,3.2686399517786984
P1_T1_MASK_lesion18.nii.gz,1,16.0,16,1.5103807466993215
P1_T1_MASK_lesion2.nii.gz,4,59.75,239,3.183961231132675
P1_T1_MASK_lesion3.nii.gz,1,39.0,39,4.433525377341589
P1_T1_MASK_lesion4.nii.gz,4,59.75,239,3.183961231132675
P1_T1_MASK_lesion5.nii.gz,4,59.75,239,3.183961231132675
P1_T1_MASK_lesion6.nii.gz,2,121.0,242,4.529274227051384
P1_T1_MASK_lesion7.nii.gz,4,59.75,239,3.1839612311326757
P1_T1_MASK_lesion8.nii.gz,3,139.0,417,4.864510851136905
P1_T1_MASK_lesion9.nii.gz,2,212.5,425,9.176796816555235
P20_T1_MASK_lesion1.nii.gz,1,98.0,98,5.6756529346765126
P20_T1_MASK_lesion2.nii.gz,1,141.0,141,4.410372517734057
P20_T1_MASK_lesion3.nii.gz,1,162.0,162,5.844665327260816
P20_T1_MASK_lesion4.nii.gz,1,42.0,42,2.764469252755962
P20_T1_MASK_lesion5.nii.gz,1,58.0,58,3.301037562539762
P20_T1_MASK_lesion6.nii.gz,2,99.0,198,5.730139227986207
P20_T1_MASK_lesion7.nii.gz,2,99.0,198,5.730139227986205
P20_T1_MASK_lesion8.nii.gz,1,45.0,45,2.8347926525084786
P21_T1_MASK_lesion1.nii.gz,2,381.0,762,6.417980615461609
P21_T1_MASK_lesion10.nii.gz,1,232.0,232,6.544829630100331
P21_T1_MASK_lesion11.nii.gz,1,36.0,36,2.261459159671959
P21_T1_MASK_lesion12.nii.gz,2,154.5,309,7.11527199025207
P21_T1_MASK_lesion13.nii.gz,2,154.5,309,7.1152719902520705
P21_T1_MASK_lesion3.nii.gz,3,269.0,807,5.147249254719484
P21_T1_MASK_lesion4.nii.gz,2,95.0,190,4.046416200154852
P21_T1_MASK_lesion5.nii.gz,3,284.0,852,6.177881214349178
P21_T1_MASK_lesion6.nii.gz,3,776.6666666666666,2330,8.285578828817746
P21_T1_MASK_lesion7.nii.gz,1,199.0,199,4.95982954275696
P21_T1_MASK_lesion8.nii.gz,2,95.0,190,4.046416200154851
P21_T1_MASK_lesion9.nii.gz,1,144.0,144,4.981877845479953
P22_T1_MASK_lesion1.nii.gz,6,60.166666666666664,361,3.6189345867321876
P22_T1_MASK_lesion10.nii.gz,2,67.0,134,3.2600641967270167
P22_T1_MASK_lesion11.nii.gz,3,68.0,204,3.4374084795419138
P22_T1_MASK_lesion12.nii.gz,2,71.5,143,3.3824800340739336
P22_T1_MASK_lesion13.nii.gz,3,112.66666666666667,338,4.64192819753529
P22_T1_MASK_lesion14.nii.gz,5,99.6,498,4.195497871726191
P22_T1_MASK_lesion15.nii.gz,5,120.8,604,4.596625045417954
P22_T1_MASK_lesion16.nii.gz,6,169.83333333333334,1019,6.114301829456292
P22_T1_MASK_lesion17.nii.gz,6,104.33333333333333,626,4.6298342291208785
P22_T1_MASK_lesion18.nii.gz,5,120.8,604,4.596625045417954
P22_T1_MASK_lesion19.nii.gz,6,168.83333333333334,1013,6.0749231124959495
P22_T1_MASK_lesion2.nii.gz,4,58.25,233,4.007833398586077
P22_T1_MASK_lesion20.nii.gz,5,186.6,933,6.67740773499514
P22_T1_MASK_lesion21.nii.gz,3,216.33333333333334,649,7.7497886769722975
P22_T1_MASK_lesion3.nii.gz,5,71.4,357,4.042721504078624
P22_T1_MASK_lesion5.nii.gz,6,60.166666666666664,361,3.6189345867321876
P22_T1_MASK_lesion6.nii.gz,4,247.5,990,7.41761606134895
P22_T1_MASK_lesion7.nii.gz,5,58.4,292,3.0504450098421243
P22_T1_MASK_lesion8.nii.gz,3,189.33333333333334,568,4.715831283062567
P22_T1_MASK_lesion9.nii.gz,1,33.0,33,2.122294096350682
P23_T1_MASK_lesion10.nii.gz,1,146.0,146,5.366376069434228
P23_T1_MASK_lesion12.nii.gz,3,109.0,327,3.7865109869600424
P23_T1_MASK_lesion13.nii.gz,2,36.0,72,2.495748179250826
P23_T1_MASK_lesion14.nii.gz,1,68.0,68,3.9509043684604297
P23_T1_MASK_lesion15.nii.gz,3,136.33333333333334,409,4.118796622485201
P23_T1_MASK_lesion16.nii.gz,2,36.0,72,2.4957481792508234
P23_T1_MASK_lesion17.nii.gz,2,146.5,293,4.300075677106662
P23_T1_MASK_lesion18.nii.gz,2,89.5,179,3.5958003444473805
P23_T1_MASK_lesion19.nii.gz,2,1099.5,2199,9.676495952785396
P23_T1_MASK_lesion2.nii.gz,2,34.0,68,2.371872285349397
P23_T1_MASK_lesion20.nii.gz,1,189.0,189,6.05762803140099
P23_T1_MASK_lesion3.nii.gz,4,519.25,2077,5.615252382870824
P23_T1_MASK_lesion5.nii.gz,2,96.0,192,6.355756825292742
P23_T1_MASK_lesion6.nii.gz,3,683.6666666666666,2051,6.612854770303109
P23_T1_MASK_lesion7.nii.gz,1,312.0,312,7.764393804025155
P23_T1_MASK_lesion8.nii.gz,2,96.0,192,6.355756825292743
P24_T1_MASK_lesion1.nii.gz,4,134.5,538,4.987403907846243
P24_T1_MASK_lesion10.nii.gz,8,150.5,1204,4.564358447209638
P24_T1_MASK_lesion11.nii.gz,9,212.88888888888889,1916,5.539520274069836
P24_T1_MASK_lesion12.nii.gz,6,197.5,1185,4.685369183409391
P24_T1_MASK_lesion13.nii.gz,8,132.375,1059,4.622066486341225
P24_T1_MASK_lesion14.nii.gz,10,163.0,1630,4.790871769866948
P24_T1_MASK_lesion15.nii.gz,9,205.66666666666666,1851,5.264259035794107
P24_T1_MASK_lesion16.nii.gz,4,198.75,795,5.237663861998247
P24_T1_MASK_lesion17.nii.gz,3,183.0,549,5.979760871841066
P24_T1_MASK_lesion18.nii.gz,9,212.33333333333334,1911,5.540757140140304
P24_T1_MASK_lesion19.nii.gz,8,173.375,1387,5.131745029763236
P24_T1_MASK_lesion2.nii.gz,2,177.5,355,5.72160219164649
P24_T1_MASK_lesion20.nii.gz,8,146.625,1173,5.0589574284694
P24_T1_MASK_lesion21.nii.gz,4,96.25,385,3.9140058634538653
P24_T1_MASK_lesion22.nii.gz,9,131.55555555555554,1184,4.7130221036802
P24_T1_MASK_lesion23.nii.gz,5,113.0,565,4.675257002044396
P24_T1_MASK_lesion24.nii.gz,3,62.666666666666664,188,3.488543939948191
P24_T1_MASK_lesion25.nii.gz,3,84.33333333333333,253,4.134660139085192
P24_T1_MASK_lesion26.nii.gz,6,92.66666666666667,556,4.690296107514276
P24_T1_MASK_lesion27.nii.gz,5,45.2,226,3.2402047049811933
P24_T1_MASK_lesion28.nii.gz,5,45.2,226,3.240204704981193
P24_T1_MASK_lesion29.nii.gz,5,106.0,530,4.851698862957531
P24_T1_MASK_lesion3.nii.gz,4,114.0,456,4.602502243465409
P24_T1_MASK_lesion30.nii.gz,3,96.0,288,4.696478118270542
P24_T1_MASK_lesion31.nii.gz,8,89.5,716,4.560550471832096
P24_T1_MASK_lesion32.nii.gz,8,109.75,878,4.650779672216041
P24_T1_MASK_lesion34.nii.gz,4,229.75,919,7.4160941383163195
P24_T1_MASK_lesion35.nii.gz,5,218.4,1092,6.72120661190051
P24_T1_MASK_lesion36.nii.gz,8,109.75,878,4.650779672216041
P24_T1_MASK_lesion37.nii.gz,10,162.3,1623,5.636268462783297
P24_T1_MASK_lesion38.nii.gz,11,98.27272727272727,1081,4.645189133703519
P24_T1_MASK_lesion39.nii.gz,7,274.42857142857144,1921,8.146356451116334
P24_T1_MASK_lesion4.nii.gz,3,185.66666666666666,557,6.187758254349791
P24_T1_MASK_lesion40.nii.gz,9,122.11111111111111,1099,4.83156767876374
P24_T1_MASK_lesion41.nii.gz,5,77.2,386,4.078023529278092
P24_T1_MASK_lesion43.nii.gz,11,216.8181818181818,2385,6.934364912832862
P24_T1_MASK_lesion44.nii.gz,11,94.45454545454545,1039,4.002269097524211
P24_T1_MASK_lesion45.nii.gz,9,123.22222222222223,1109,4.786201594129269
P24_T1_MASK_lesion46.nii.gz,2,53.0,106,3.2952018950371613
P24_T1_MASK_lesion47.nii.gz,8,133.125,1065,5.0773956771028885
P24_T1_MASK_lesion48.nii.gz,6,48.666666666666664,292,2.826895545051834
P24_T1_MASK_lesion49.nii.gz,5,46.0,230,2.5655236821153973
P24_T1_MASK_lesion5.nii.gz,4,132.25,529,4.355635780624048
P24_T1_MASK_lesion50.nii.gz,9,97.44444444444444,877,4.065932115637394
P24_T1_MASK_lesion51.nii.gz,7,65.85714285714286,461,3.2448570773108587
P24_T1_MASK_lesion52.nii.gz,6,111.66666666666667,670,4.36612582807284
P24_T1_MASK_lesion53.nii.gz,3,75.66666666666667,227,4.004555114882823
P24_T1_MASK_lesion54.nii.gz,5,110.6,553,4.375907615625698
P24_T1_MASK_lesion55.nii.gz,3,73.0,219,3.2926730341951296
P24_T1_MASK_lesion56.nii.gz,5,82.4,412,4.009123101701533
P24_T1_MASK_lesion57.nii.gz,2,69.0,138,3.669309240715206
P24_T1_MASK_lesion6.nii.gz,4,132.25,529,4.355635780624049
P24_T1_MASK_lesion7.nii.gz,2,239.5,479,7.04422831241421
P24_T1_MASK_lesion8.nii.gz,1,103.0,103,3.7705043163361944
P24_T1_MASK_lesion9.nii.gz,5,146.2,731,4.416591217192132
P25_T1_MASK_lesion1.nii.gz,1,620.0,620,11.266825318497856
P25_T1_MASK_lesion2.nii.gz,1,1020.0,1020,14.33474504193037
P25_T1_MASK_lesion3.nii.gz,1,134.0,134,4.028869421699899
P25_T1_MASK_lesion4.nii.gz,1,312.0,312,9.588154820057193
P25_T1_MASK_lesion5.nii.gz,1,64.0,64,3.2566788345260576
P25_T1_MASK_lesion6.nii.gz,1,315.0,315,6.004944632576763
P26_T1_MASK_lesion1.nii.gz,2,122.0,244,5.377774351324653
P26_T1_MASK_lesion10.nii.gz,5,219.8,1099,5.825342944473238
P26_T1_MASK_lesion11.nii.gz,2,109.0,218,3.6123916177941817
P26_T1_MASK_lesion12.nii.gz,2,23.5,47,2.0910305154881463
P26_T1_MASK_lesion13.nii.gz,6,269.1666666666667,1615,7.223610853909121
P26_T1_MASK_lesion14.nii.gz,4,103.5,414,4.1797312584439466
P26_T1_MASK_lesion15.nii.gz,3,82.66666666666667,248,3.182060427261906
P26_T1_MASK_lesion16.nii.gz,4,151.25,605,5.2725010853886385
P26_T1_MASK_lesion17.nii.gz,6,264.0,1584,7.128784328354365
P26_T1_MASK_lesion18.nii.gz,2,45.0,90,2.637980685853317
P26_T1_MASK_lesion19.nii.gz,3,155.0,465,5.383630119460503
P26_T1_MASK_lesion2.nii.gz,3,127.33333333333333,382,4.991042255050334
P26_T1_MASK_lesion20.nii.gz,2,23.5,47,2.0910305154881446
P26_T1_MASK_lesion21.nii.gz,3,109.33333333333333,328,4.026463383351618
P26_T1_MASK_lesion22.nii.gz,2,59.5,119,3.3196982750341557
P26_T1_MASK_lesion23.nii.gz,4,177.25,709,5.51024835319685
P26_T1_MASK_lesion24.nii.gz,2,87.0,174,4.333239950783828
P26_T1_MASK_lesion25.nii.gz,3,83.33333333333333,250,3.784334009587997
P26_T1_MASK_lesion26.nii.gz,5,122.2,611,4.584798795702893
